entity_uri ,term
http://biohackathon.org/resource/faldo#CollectionOfRegions ,CollectionOfRegions 
http://biohackathon.org/resource/faldo#OneOfPosition ,OneOfPosition 
http://biohackathon.org/resource/faldo#ExactPosition ,ExactPosition 
http://biohackathon.org/resource/faldo#Region ,Region 
http://biohackathon.org/resource/faldo#InBetweenPosition ,InBetweenPosition 
http://biohackathon.org/resource/faldo#BothStrandsPosition ,BothStrandsPosition 
http://biohackathon.org/resource/faldo#C-TerminalPosition ,C-TerminalPosition 
http://biohackathon.org/resource/faldo#ReverseStrandPosition ,ReverseStrandPosition 
http://biohackathon.org/resource/faldo#Position ,Position 
http://biohackathon.org/resource/faldo#FuzzyPosition ,FuzzyPosition 
http://biohackathon.org/resource/faldo#ListOfRegions ,ListOfRegions 
http://biohackathon.org/resource/faldo#N-TerminalPosition ,N-TerminalPosition 
http://biohackathon.org/resource/faldo#StrandedPosition ,StrandedPosition 
http://biohackathon.org/resource/faldo#ForwardStrandPosition ,ForwardStrandPosition 
http://biohackathon.org/resource/faldo#InRangePosition ,InRangePosition 
http://biohackathon.org/resource/faldo#BagOfRegions ,BagOfRegions 
